size,lu_time,ss_time
100,0.003229,0.000068
200,0.014599,0.000172
300,0.048270,0.000369
400,0.119665,0.000697
500,0.288004,0.001489
600,0.478910,0.002149
700,0.775482,0.003063
1000,3.013753,0.006860
2000,34.197951,0.035130
