size,chol_time,forw_time,back_time
100,0.000783,0.000018,0.000018
200,0.007003,0.000104,0.000074
300,0.023049,0.000179,0.000175
400,0.058403,0.000338,0.000319
500,0.120221,0.000888,0.000623
600,0.213515,0.000942,0.000808
700,0.341391,0.001704,0.001434
1000,1.173400,0.003781,0.003384
2000,14.757560,0.018464,0.018313
